<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTCUSD;D;20140216;000000;665.8076400;668.8248600;600.0000000;624.7311100;21
BTCUSD;D;20140217;000000;636.2620500;679.0583300;593.6754400;638.1016000;36
BTCUSD;D;20140218;000000;639.6968500;652.5073800;623.0000000;636.5201000;21
BTCUSD;D;20140219;000000;634.9328000;640.0000000;602.9066700;630.1617900;13
BTCUSD;D;20140220;000000;631.7411400;641.3624000;561.1460200;561.1460200;53
BTCUSD;D;20140221;000000;567.2657200;597.0535100;547.7227700;572.2744000;26
BTCUSD;D;20140222;000000;580.8600000;620.9000000;567.5451700;610.0430800;13
BTCUSD;D;20140223;000000;610.1185400;650.2799600;600.9119800;616.8800000;21
BTCUSD;D;20140224;000000;610.9706100;616.9007900;540.6360800;572.0000000;30
BTCUSD;D;20140225;000000;565.3832400;568.0933900;450.0000000;535.5983100;60
BTCUSD;D;20140226;000000;540.8986100;650.0000000;540.8986100;587.2713300;106
BTCUSD;D;20140227;000000;599.0065400;629.9000000;580.5000000;596.4862900;46
BTCUSD;D;20140228;000000;589.0886400;599.0000000;570.0000000;573.9411900;29
BTCUSD;D;20140301;000000;570.0000000;605.0000000;550.0000000;575.0000000;8
BTCUSD;D;20140302;000000;575.0000000;588.0790000;572.4133900;578.0000000;2
BTCUSD;D;20140303;000000;583.7356200;700.0000000;583.7356200;666.9435000;68
BTCUSD;D;20140304;000000;675.0000000;720.0000000;661.4767500;680.6000000;28
BTCUSD;D;20140305;000000;680.6000000;690.1714100;660.0100000;680.9900000;5
BTCUSD;D;20140306;000000;670.0100000;693.0000000;660.1000000;666.7041300;7
BTCUSD;D;20140307;000000;670.0829000;680.4630000;628.7304600;636.2004800;11
BTCUSD;D;20140308;000000;648.9142900;667.9895300;623.0000000;636.0088000;4
BTCUSD;D;20140309;000000;642.4010000;658.0000000;629.0525900;647.9349000;2
BTCUSD;D;20140310;000000;641.9900000;684.5000000;630.0000000;642.0757000;6
BTCUSD;D;20140311;000000;646.9342300;665.9342300;560.0000000;641.0000000;18
BTCUSD;D;20140312;000000;648.1450500;660.0000000;550.2750000;632.3109400;8
BTCUSD;D;20140313;000000;644.4290000;657.9910100;620.0000000;653.3975800;4
BTCUSD;D;20140314;000000;653.3975800;654.9138500;550.0000000;631.2395500;25
BTCUSD;D;20140315;000000;631.2500000;646.0000000;618.2931300;646.0000000;3
